date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,obos_main,Dealer_Hedging,Dealer_self,Foreign_Investor,Investment_Trust
2021-07-01,1476,747298,493445263,661.0,672.0,649.0,655.0,-1.0,846,698808.0,-8542.0,-10531.0,205866.0,31000.0
2021-07-02,1476,1009159,671882269,666.0,680.0,655.0,656.0,1.0,1034,808740.0,-10000.0,-3018.0,24959.0,54000.0
2021-07-05,1476,1265357,844325142,667.0,678.0,660.0,662.0,6.0,1116,1064437.0,2000.0,35000.0,326370.0,115849.0
2021-07-06,1476,698908,466059176,666.0,678.0,660.0,660.0,-2.0,773,610111.0,-1000.0,41812.0,180422.0,-2000.0
2021-07-07,1476,823651,546601816,668.0,670.0,657.0,668.0,8.0,872,917012.0,4082.0,-8602.0,368691.0,-1000.0
2021-07-08,1476,2203148,1402623854,672.0,672.0,625.0,630.0,-38.0,2741,1480857.0,-10628.0,-99652.0,-554380.0,-451160.0
2021-07-09,1476,1026048,645023496,633.0,639.0,622.0,630.0,0.0,1110,918422.0,2000.0,-86274.0,272282.0,-204000.0
2021-07-12,1476,1515667,931204887,630.0,631.0,608.0,616.0,-14.0,1949,1499181.0,8000.0,-8853.0,106570.0,-656000.0
2021-07-13,1476,1002735,612330968,618.0,622.0,605.0,610.0,-6.0,1293,898942.0,-3000.0,5666.0,132584.0,-251212.0
2021-07-14,1476,1410169,840325147,610.0,616.0,587.0,596.0,-14.0,1814,1062131.0,2055.0,1195.0,-45126.0,-378581.0
2021-07-15,1476,925358,561294637,588.0,614.0,588.0,608.0,12.0,1031,874263.0,16044.0,-9161.0,116758.0,-152000.0
2021-07-16,1476,377974,230748619,603.0,614.0,603.0,613.0,5.0,432,463388.0,-7000.0,792.0,-91681.0,-3000.0
2021-07-19,1476,600973,360266400,608.0,609.0,592.0,607.0,-6.0,772,571776.0,-21000.0,2000.0,-115607.0,-11000.0
2021-07-20,1476,2102711,1222038369,597.0,604.0,575.0,581.0,-26.0,2627,2636256.0,-13939.0,-30601.0,132931.0,-588000.0
2021-07-21,1476,1311843,768081034,583.0,593.0,582.0,590.0,9.0,1333,1727957.0,-1000.0,20828.0,119092.0,-79000.0
2021-07-22,1476,1167981,689623497,590.0,595.0,583.0,591.0,1.0,951,1821963.0,730.0,8305.0,-108377.0,1024.0
2021-07-23,1476,545818,330031434,598.0,609.0,595.0,606.0,15.0,661,622139.0,7015.0,15000.0,178409.0,14000.0
